Structure,Experiment,Dataset Size,Fold,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
dense_structure,2,5,1,E,3,0.7247730020081355,2.682740138679242,7.420062780380249
dense_structure,2,5,1,F,3,0.6337783047724075,1.6518313348808238,7.420062780380249
dense_structure,2,5,1,B,3,0.16661710957444015,0.544101300835441,7.420062780380249
dense_structure,2,5,1,G,3,0.37271238716660127,0.8529551136730269,7.420062780380249
dense_structure,2,5,1,H,3,0.003236809931566182,0.040992641037732556,7.420062780380249
dense_structure,2,5,1,C,3,0.18471920241481343,0.3967071232026439,7.420062780380249
dense_structure,2,5,1,I,3,0.0615732115017158,0.06437714524267216,7.420062780380249
dense_structure,2,5,1,J,3,1.7189008623531097,5.639491166455198,7.420062780380249
dense_structure,2,5,1,K,3,1.3642912166153849,0.8611488511244387,7.420062780380249
dense_structure,2,5,1,L,3,2.060733699578906,4.597062256845029,7.420062780380249
dense_structure,2,5,1,M,3,0.23567126104409847,0.2801929746248155,7.420062780380249
dense_structure,2,5,1,N,3,0.896153742563957,1.9095842960979597,7.420062780380249
dense_structure,2,5,1,O,3,0.6950591055481592,1.7706651697398386,7.420062780380249
dense_structure,2,5,1,P,3,2.769795871653308,5.59090181632363,7.420062780380249
dense_structure,2,5,1,Q,3,1.2258456989879611,2.636568687499006,7.420062780380249
dense_structure,2,5,1,R,3,0.18144853649940218,0.6942150727074431,7.420062780380249
dense_structure,2,5,1,S,3,0.002156507943065919,0.0007394335616245883,7.420062780380249
dense_structure,2,5,1,T,3,2.6504927772781617,1.4317206563392193,7.420062780380249
dense_structure,2,5,1,U,3,0.6033006189699082,0.689826432327508,7.420062780380249
dense_structure,2,5,2,A,3,0.018078609511336677,0.01805105869775439,10.936920404434204
dense_structure,2,5,2,D,3,2.0115075580625867,3.97993989128756,10.936920404434204
dense_structure,2,5,2,E,3,0.05493607903143813,0.4750728684561552,10.936920404434204
dense_structure,2,5,2,F,3,2.0675479659923197,4.552308762252485,10.936920404434204
dense_structure,2,5,2,B,3,0.19392068830044829,0.544101300835441,10.936920404434204
dense_structure,2,5,2,G,3,0.42936537215969706,0.8529551136730269,10.936920404434204
dense_structure,2,5,2,H,3,0.006386186206644588,0.040992641037732556,10.936920404434204
dense_structure,2,5,2,C,3,0.26827364291062317,0.3967071232026439,10.936920404434204
dense_structure,2,5,2,I,3,0.2851628686665436,0.24626865169396345,10.936920404434204
dense_structure,2,5,2,J,3,0.11411609015769776,1.2470497710700859,10.936920404434204
dense_structure,2,5,2,K,3,0.23210559824882318,1.721046785367579,10.936920404434204
dense_structure,2,5,2,L,3,2.364982132281462,4.597062256845029,10.936920404434204
dense_structure,2,5,2,M,3,0.04024400121704344,0.3366748567634724,10.936920404434204
dense_structure,2,5,2,N,3,0.9539716936778713,1.9095842960979597,10.936920404434204
dense_structure,2,5,2,O,3,0.9532155365739594,1.7706651697398386,10.936920404434204
dense_structure,2,5,2,P,3,1.0232726763676823,2.9373705431860238,10.936920404434204
dense_structure,2,5,2,Q,3,0.6935234056472807,1.797580185906109,10.936920404434204
dense_structure,2,5,2,R,3,0.17703875444765999,0.6942150727074431,10.936920404434204
dense_structure,2,5,2,S,3,0.07232306956041915,0.07295436866969235,10.936920404434204
dense_structure,2,5,2,T,3,1.9897966484670975,1.8058459019714397,10.936920404434204
dense_structure,2,5,2,U,3,1.9632258002424894,3.151986702031597,10.936920404434204
dense_structure,2,5,1,A,4,1.7338834334047029,4.20696837418111,8.288933753967285
dense_structure,2,5,1,D,4,1.416818488750806,1.3995716176057713,8.288933753967285
dense_structure,2,5,1,E,4,1.5290117109264394,3.029524379886965,8.288933753967285
dense_structure,2,5,1,F,4,0.2546817146418424,0.23029348296989838,8.288933753967285
dense_structure,2,5,1,B,4,0.6617203341428266,0.4418856477393065,8.288933753967285
dense_structure,2,5,1,G,4,3.172256729079666,7.277747916555431,8.288933753967285
dense_structure,2,5,1,H,4,0.6589984497078217,2.317836924985158,8.288933753967285
dense_structure,2,5,1,C,4,0.12978814207657205,0.3967071232026439,8.288933753967285
dense_structure,2,5,1,I,4,0.18170457838252105,0.06437714524267216,8.288933753967285
dense_structure,2,5,1,J,4,3.504132737779858,1.8260632515986155,8.288933753967285
dense_structure,2,5,1,K,4,0.5195614975156931,0.861392133933393,8.288933753967285
dense_structure,2,5,1,L,4,0.9439036777824605,2.582432739723254,8.288933753967285
