Structure,Experiment,Dataset Size,Fold,Node,Iteration,KL Divergence NeuralBN,KL Divergence TraditionalBN,Training Time NeuralBN
tree_structure,4,5,2,A,5,0.1831183594631563,0.44213438769948993,8.412680387496948
tree_structure,4,5,2,B,5,0.01106011304540859,0.0010762552912923808,8.412680387496948
tree_structure,4,5,2,C,5,0.29902789854732126,0.767648690670055,8.412680387496948
tree_structure,4,5,2,D,5,1.5376780883421488,3.1954490689491646,8.412680387496948
tree_structure,4,5,2,E,5,0.35926606360162117,0.1677289640086209,8.412680387496948
tree_structure,4,5,2,F,5,0.0008414765698201779,9.342143108392181e-06,8.412680387496948
tree_structure,4,5,2,G,5,2.761651687380552,4.488492581071045,8.412680387496948
tree_structure,4,5,2,H,5,1.442475710751957,3.4116942482277612,8.412680387496948
tree_structure,4,5,2,I,5,0.08284194313341428,0.0010508973461569697,8.412680387496948
tree_structure,4,5,2,J,5,0.7611616916187823,2.024031794966741,8.412680387496948
tree_structure,4,5,2,K,5,0.583594784274702,1.8837039603107706,8.412680387496948
tree_structure,4,5,1,A,6,0.05495097074947029,0.44213438769948993,6.167851686477661
tree_structure,4,5,1,B,6,4.497988225211852,7.305268038418246,6.167851686477661
tree_structure,4,5,1,C,6,0.3378001402765901,0.767648690670055,6.167851686477661
tree_structure,4,5,1,D,6,2.257642102522021,1.9199071591248158,6.167851686477661
tree_structure,4,5,1,E,6,1.3906165009148597,1.985248200748366,6.167851686477661
tree_structure,4,5,1,F,6,2.7416711275363577,1.7422329006700472,6.167851686477661
tree_structure,4,5,1,G,6,3.5093405558317903,2.4101711079415717,6.167851686477661
tree_structure,4,5,1,H,6,0.16658475517019503,0.1414477540627508,6.167851686477661
tree_structure,4,5,1,I,6,2.5961743581093213,5.3282424038765965,6.167851686477661
tree_structure,4,5,1,J,6,0.0664508047184362,0.09886747573946308,6.167851686477661
tree_structure,4,5,1,K,6,0.5755272800032769,1.0829717426532366,6.167851686477661
tree_structure,4,5,2,A,6,0.15135752441658906,0.44213438769948993,7.6910929679870605
tree_structure,4,5,2,B,6,0.11070880829764365,0.2622628965685705,7.6910929679870605
tree_structure,4,5,2,C,6,0.1510418738661798,0.15941924490021292,7.6910929679870605
tree_structure,4,5,2,D,6,1.333164490741524,3.7828160022645108,7.6910929679870605
tree_structure,4,5,2,E,6,1.9600416234830713,3.8027674374881113,7.6910929679870605
tree_structure,4,5,2,F,6,4.118017443009963,7.063613979658146,7.6910929679870605
tree_structure,4,5,2,G,6,0.01648437437444311,0.005083147232644185,7.6910929679870605
tree_structure,4,5,2,H,6,1.0792049891248752,2.217610544857017,7.6910929679870605
tree_structure,4,5,2,I,6,0.020577021021236527,0.07582557009990537,7.6910929679870605
tree_structure,4,5,2,J,6,0.043132980621432476,0.16401578942877826,7.6910929679870605
tree_structure,4,5,2,K,6,0.1688711886884686,0.1818132771542596,7.6910929679870605
tree_structure,4,5,1,A,7,0.15731622372935722,0.44213438769948993,7.179304599761963
tree_structure,4,5,1,B,7,1.0996522875524128,1.5241403889082645,7.179304599761963
tree_structure,4,5,1,C,7,0.3049551333156859,0.19110242597188304,7.179304599761963
tree_structure,4,5,1,D,7,2.1262272660661408,1.6107153088749795,7.179304599761963
tree_structure,4,5,1,E,7,1.120064757329709,1.0095387941326626,7.179304599761963
tree_structure,4,5,1,F,7,1.795170445462243,4.090620899540317,7.179304599761963
tree_structure,4,5,1,G,7,0.7785833062666873,2.7382284144331033,7.179304599761963
tree_structure,4,5,1,H,7,2.9714753289795026,2.3736128528306284,7.179304599761963
tree_structure,4,5,1,I,7,2.448890858611553,2.6641214091985113,7.179304599761963
tree_structure,4,5,1,J,7,0.13446053593259777,0.13144163258412067,7.179304599761963
tree_structure,4,5,1,K,7,0.6378850676288612,1.561300612895511,7.179304599761963
tree_structure,4,5,2,A,7,0.09771804526504756,0.22525329888562023,10.443966627120972
tree_structure,4,5,2,B,7,0.00553867308369399,0.07278055802049208,10.443966627120972
tree_structure,4,5,2,C,7,0.29760464593615743,0.767648690670055,10.443966627120972
tree_structure,4,5,2,D,7,1.578425871728042,3.1954490689491646,10.443966627120972
tree_structure,4,5,2,E,7,0.07752476021464394,0.1677289640086209,10.443966627120972
tree_structure,4,5,2,F,7,0.6004836767976058,2.1483891659262424,10.443966627120972
tree_structure,4,5,2,G,7,0.761890061847712,2.7382284144331033,10.443966627120972
tree_structure,4,5,2,H,7,0.016132337960910403,0.0032067930125096386,10.443966627120972
tree_structure,4,5,2,I,7,2.577579698976657,5.3282424038765965,10.443966627120972
tree_structure,4,5,2,J,7,0.8859620870620992,2.6455808253608173,10.443966627120972
tree_structure,4,5,2,K,7,0.7317027678183622,1.561300612895511,10.443966627120972
tree_structure,4,5,1,A,8,0.10221814572474328,0.44213438769948993,6.488642692565918
tree_structure,4,5,1,B,8,0.0010712069927902926,0.07278055802049208,6.488642692565918
tree_structure,4,5,1,C,8,0.268865950042818,0.38215790471314737,6.488642692565918
tree_structure,4,5,1,D,8,0.6220639740380777,3.1954490689491646,6.488642692565918
tree_structure,4,5,1,E,8,4.735081701476803,8.468196107315396,6.488642692565918
tree_structure,4,5,1,F,8,0.5007288978040316,2.1483891659262424,6.488642692565918
tree_structure,4,5,1,G,8,1.284910345521982,3.318149532344874,6.488642692565918
tree_structure,4,5,1,H,8,2.9843446340575484,5.527296737926858,6.488642692565918
tree_structure,4,5,1,I,8,0.004420397229622442,0.0005256559332916945,6.488642692565918
tree_structure,4,5,1,J,8,0.6374693705340877,2.6455808253608173,6.488642692565918
tree_structure,4,5,1,K,8,0.4782438172476985,0.2320264010749811,6.488642692565918
tree_structure,4,5,2,A,8,0.21187972186467968,0.44213438769948993,9.936046361923218
tree_structure,4,5,2,B,8,0.9964056727282307,2.966954181123081,9.936046361923218
tree_structure,4,5,2,C,8,0.1280160098744486,0.15941924490021292,9.936046361923218
tree_structure,4,5,2,D,8,2.5026187286292894,1.6107153088749795,9.936046361923218
tree_structure,4,5,2,E,8,0.05512361461639064,0.028440994976503146,9.936046361923218
tree_structure,4,5,2,F,8,2.033355743761595,4.090620899540317,9.936046361923218
tree_structure,4,5,2,G,8,0.02607174024919582,0.49652369751390285,9.936046361923218
tree_structure,4,5,2,H,8,0.4162195909389605,0.08790185487806015,9.936046361923218
tree_structure,4,5,2,I,8,2.0908885968027455,5.0580896060224525,9.936046361923218
tree_structure,4,5,2,J,8,3.2419766594787247,1.4047983073947978,9.936046361923218
tree_structure,4,5,2,K,8,0.6740854635096301,1.2388972654802513,9.936046361923218
tree_structure,4,5,1,A,9,0.15828063646141918,0.44213438769948993,6.5761401653289795
tree_structure,4,5,1,B,9,1.335000566549831,2.966954181123081,6.5761401653289795
tree_structure,4,5,1,C,9,0.19004469498544935,0.767648690670055,6.5761401653289795
tree_structure,4,5,1,D,9,2.167618000083903,1.6107153088749795,6.5761401653289795
tree_structure,4,5,1,E,9,0.10050180291069793,0.09644181403587876,6.5761401653289795
tree_structure,4,5,1,F,9,0.04668215369362133,0.05805169429389903,6.5761401653289795
tree_structure,4,5,1,G,9,0.020472313308007514,0.005083147232644185,6.5761401653289795
tree_structure,4,5,1,H,9,1.720702640633973,2.8343722459948046,6.5761401653289795
tree_structure,4,5,1,I,9,1.762642278535527,4.929305050169257,6.5761401653289795
tree_structure,4,5,1,J,9,0.6984700747576988,2.334806310163779,6.5761401653289795
tree_structure,4,5,1,K,9,1.867220243941751,4.92274048148917,6.5761401653289795
tree_structure,4,5,2,A,9,0.14377790603646645,0.44213438769948993,8.108306169509888
tree_structure,4,5,2,B,9,0.01398838626428911,0.0010762552912923808,8.108306169509888
tree_structure,4,5,2,C,9,0.2978174554344229,0.767648690670055,8.108306169509888
tree_structure,4,5,2,D,9,0.13466637377130838,0.056998315985121034,8.108306169509888
tree_structure,4,5,2,E,9,0.1289111763507666,0.1677289640086209,8.108306169509888
tree_structure,4,5,2,F,9,0.08204565491917815,0.23387208226356848,8.108306169509888
tree_structure,4,5,2,G,9,0.14122983934480085,0.09888610958583022,8.108306169509888
tree_structure,4,5,2,H,9,2.47965146584388,5.527296737926858,8.108306169509888
tree_structure,4,5,2,I,9,2.2204461992524456,5.198407365197669,8.108306169509888
tree_structure,4,5,2,J,9,0.8251080347339502,2.334806310163779,8.108306169509888
tree_structure,4,5,2,K,9,0.785613463870767,1.561300612895511,8.108306169509888
tree_structure,4,5,1,A,10,0.391883783023918,0.4730622980593521,7.354578971862793
tree_structure,4,5,1,B,10,2.8951021571020146,7.305268038418246,7.354578971862793
tree_structure,4,5,1,C,10,0.13832387071208485,0.767648690670055,7.354578971862793
tree_structure,4,5,1,D,10,0.11877721837392857,0.041489932392957694,7.354578971862793
tree_structure,4,5,1,E,10,1.4170875521678794,1.985248200748366,7.354578971862793
tree_structure,4,5,1,F,10,0.7516340145675422,3.1791505124299966,7.354578971862793
tree_structure,4,5,1,G,10,1.2687966879333583,4.488492581071045,7.354578971862793
tree_structure,4,5,1,H,10,0.3323659393431288,2.217610544857017,7.354578971862793
tree_structure,4,5,1,I,10,0.08204108558206212,0.0005256559332916945,7.354578971862793
tree_structure,4,5,1,J,10,3.3317654088949524,8.43066088739116,7.354578971862793
tree_structure,4,5,1,K,10,0.601737637567765,1.561300612895511,7.354578971862793
tree_structure,4,5,2,A,10,0.19429171365948092,0.44213438769948993,8.126028776168823
tree_structure,4,5,2,B,10,5.3539483226950225e-05,0.04120142599237035,8.126028776168823
tree_structure,4,5,2,C,10,1.70276417483347,0.38384781895033687,8.126028776168823
tree_structure,4,5,2,D,10,1.0992647329593614,3.7828160022645108,8.126028776168823
tree_structure,4,5,2,E,10,0.31039581255983595,6.374202994138505,8.126028776168823
tree_structure,4,5,2,F,10,3.361716044233358,1.7422329006700472,8.126028776168823
tree_structure,4,5,2,G,10,0.09060871581978747,0.21536787219896403,8.126028776168823
tree_structure,4,5,2,H,10,0.014961107867195171,0.011851096705190075,8.126028776168823
tree_structure,4,5,2,I,10,0.4390530080917602,5.3282424038765965,8.126028776168823
tree_structure,4,5,2,J,10,2.7199448542381734,1.061449635353102,8.126028776168823
tree_structure,4,5,2,K,10,0.6947299847131854,1.561300612895511,8.126028776168823
tree_structure,4,5,1,A,11,0.13966897249002613,0.44213438769948993,6.519794225692749
tree_structure,4,5,1,B,11,0.09974671626333192,0.07278055802049208,6.519794225692749
tree_structure,4,5,1,C,11,0.25209476858829893,0.767648690670055,6.519794225692749
tree_structure,4,5,1,D,11,0.8525174646155305,3.4891325356068377,6.519794225692749
tree_structure,4,5,1,E,11,0.9813255300618344,2.89834518084515,6.519794225692749
tree_structure,4,5,1,F,11,0.021501307039100914,0.05805169429389903,6.519794225692749
tree_structure,4,5,1,G,11,0.03984252431008939,0.005083147232644185,6.519794225692749
tree_structure,4,5,1,H,11,2.91673262002638,6.3988620091836665,6.519794225692749
tree_structure,4,5,1,I,11,1.8799194680677416,2.6641214091985113,6.519794225692749
tree_structure,4,5,1,J,11,3.38512796177267,8.43066088739116,6.519794225692749
tree_structure,4,5,1,K,11,0.7157687778481807,1.561300612895511,6.519794225692749
tree_structure,4,5,2,A,11,0.17911621564541347,0.44213438769948993,10.508502721786499
tree_structure,4,5,2,B,11,0.17673553933416883,0.2622628965685705,10.508502721786499
tree_structure,4,5,2,C,11,0.3407154705793085,0.767648690670055,10.508502721786499
tree_structure,4,5,2,D,11,0.028924867588219563,1.6107153088749795,10.508502721786499
tree_structure,4,5,2,E,11,0.15853596124947852,1.0095387941326626,10.508502721786499
tree_structure,4,5,2,F,11,1.2955550500916826,3.1791505124299966,10.508502721786499
tree_structure,4,5,2,G,11,0.14664957264260223,0.09888610958583022,10.508502721786499
tree_structure,4,5,2,H,11,1.031640535361302,3.4116942482277612,10.508502721786499
tree_structure,4,5,2,I,11,2.4745134496942507,5.3282424038765965,10.508502721786499
tree_structure,4,5,2,J,11,0.3611009991763475,0.25731334745351964,10.508502721786499
tree_structure,4,5,2,K,11,1.7363505161959265,4.92274048148917,10.508502721786499
tree_structure,4,5,1,A,12,0.5337895221211568,0.4730622980593521,7.054424524307251
tree_structure,4,5,1,B,12,1.6390826396262261,2.966954181123081,7.054424524307251
tree_structure,4,5,1,C,12,0.24063446227297486,0.767648690670055,7.054424524307251
tree_structure,4,5,1,D,12,2.2778341608952797,1.6107153088749795,7.054424524307251
tree_structure,4,5,1,E,12,1.0510243286522218,1.0095387941326626,7.054424524307251
tree_structure,4,5,1,F,12,0.029033701478847512,0.05805169429389903,7.054424524307251
tree_structure,4,5,1,G,12,0.061718641608924235,0.005083147232644185,7.054424524307251
tree_structure,4,5,1,H,12,0.018251757722290846,0.0032067930125096386,7.054424524307251
tree_structure,4,5,1,I,12,2.1940026195451052,2.4002604544182433,7.054424524307251
tree_structure,4,5,1,J,12,2.4063418166470916,4.8514235122925955,7.054424524307251
tree_structure,4,5,1,K,12,0.8028929111677092,1.561300612895511,7.054424524307251
tree_structure,4,5,2,A,12,0.0953521306211066,0.44213438769948993,9.497158288955688
tree_structure,4,5,2,B,12,0.00020170910075060187,0.04120142599237035,9.497158288955688
tree_structure,4,5,2,C,12,1.6505870059454444,0.38384781895033687,9.497158288955688
tree_structure,4,5,2,D,12,1.4147083422440592,3.1954490689491646,9.497158288955688
tree_structure,4,5,2,E,12,0.31485722090765245,1.9939229242021885,9.497158288955688
tree_structure,4,5,2,F,12,0.0193762240099591,9.342143108392181e-06,9.497158288955688
tree_structure,4,5,2,G,12,0.03252097566235129,0.09888610958583022,9.497158288955688
tree_structure,4,5,2,H,12,0.05032917664640876,0.03435595569336951,9.497158288955688
tree_structure,4,5,2,I,12,2.3212801478012803,5.3282424038765965,9.497158288955688
tree_structure,4,5,2,J,12,0.7312539539912123,2.334806310163779,9.497158288955688
tree_structure,4,5,2,K,12,0.789942255329279,1.561300612895511,9.497158288955688
tree_structure,4,5,1,A,13,0.09907507677922067,0.44213438769948993,6.399613857269287
tree_structure,4,5,1,B,13,0.14858816262273553,0.07278055802049208,6.399613857269287
tree_structure,4,5,1,C,13,0.3936447596139681,0.767648690670055,6.399613857269287
tree_structure,4,5,1,D,13,0.8659157050874876,3.1954490689491646,6.399613857269287
tree_structure,4,5,1,E,13,0.5686849399418566,1.9939229242021885,6.399613857269287
tree_structure,4,5,1,F,13,3.570763857053818,1.7422329006700472,6.399613857269287
tree_structure,4,5,1,G,13,0.3033062691059556,0.16846639102237101,6.399613857269287
tree_structure,4,5,1,H,13,0.7630198185431517,3.4116942482277612,6.399613857269287
tree_structure,4,5,1,I,13,1.6032213682981218,5.193166004949525,6.399613857269287
tree_structure,4,5,1,J,13,0.14009661852189847,0.13144163258412067,6.399613857269287
tree_structure,4,5,1,K,13,0.6554416313264654,1.561300612895511,6.399613857269287
tree_structure,4,5,2,A,13,0.14232499454054115,0.44213438769948993,7.336440324783325
tree_structure,4,5,2,B,13,1.8835473284358015,2.966954181123081,7.336440324783325
tree_structure,4,5,2,C,13,0.14990141846656757,0.15941924490021292,7.336440324783325
tree_structure,4,5,2,D,13,0.0868105592018098,0.12887779284840137,7.336440324783325
tree_structure,4,5,2,E,13,0.02026151453393136,0.028440994976503146,7.336440324783325
tree_structure,4,5,2,F,13,0.022608192899435664,0.05805169429389903,7.336440324783325
tree_structure,4,5,2,G,13,0.059023175404855105,0.005083147232644185,7.336440324783325
tree_structure,4,5,2,H,13,1.1559859767873573,3.4116942482277612,7.336440324783325
tree_structure,4,5,2,I,13,2.654987868705185,4.929305050169257,7.336440324783325
tree_structure,4,5,2,J,13,0.011480770692943232,2.024031794966741,7.336440324783325
tree_structure,4,5,2,K,13,0.7708510399597098,1.561300612895511,7.336440324783325
tree_structure,4,5,1,A,14,0.10664486690227218,0.44213438769948993,5.895412445068359
tree_structure,4,5,1,B,14,0.07063377411023189,0.07278055802049208,5.895412445068359
tree_structure,4,5,1,C,14,0.22242951641609932,0.767648690670055,5.895412445068359
tree_structure,4,5,1,D,14,0.9242398481948578,3.4891325356068377,5.895412445068359
tree_structure,4,5,1,E,14,1.3044729466216798,2.89834518084515,5.895412445068359
tree_structure,4,5,1,F,14,3.267132856363195,7.063613979658146,5.895412445068359
tree_structure,4,5,1,G,14,0.023953282980214513,0.005083147232644185,5.895412445068359
tree_structure,4,5,1,H,14,1.0694593102657795,3.4116942482277612,5.895412445068359
tree_structure,4,5,1,I,14,0.008085583439651467,0.0005256559332916945,5.895412445068359
tree_structure,4,5,1,J,14,0.13735942835108061,0.13144163258412067,5.895412445068359
tree_structure,4,5,1,K,14,0.5783934750540952,1.561300612895511,5.895412445068359
tree_structure,4,5,2,A,14,0.2178827246832522,0.44213438769948993,6.995785713195801
tree_structure,4,5,2,B,14,0.0008506086325973869,0.0010762552912923808,6.995785713195801
tree_structure,4,5,2,C,14,0.312233098907315,0.767648690670055,6.995785713195801
tree_structure,4,5,2,D,14,0.22326444846674734,1.9199071591248158,6.995785713195801
tree_structure,4,5,2,E,14,0.1285130893417403,1.985248200748366,6.995785713195801
tree_structure,4,5,2,F,14,0.43548929009429455,0.23387208226356848,6.995785713195801
tree_structure,4,5,2,G,14,0.008897070375519733,0.029058220698336912,6.995785713195801
tree_structure,4,5,2,H,14,0.8555681133455555,3.4116942482277612,6.995785713195801
tree_structure,4,5,2,I,14,0.01504014771799013,0.0010508973461569697,6.995785713195801
tree_structure,4,5,2,J,14,0.4057321942684886,2.6455808253608173,6.995785713195801
tree_structure,4,5,2,K,14,0.6589140720794413,1.561300612895511,6.995785713195801
tree_structure,4,5,1,A,15,0.1082453532886207,0.44213438769948993,6.140719175338745
tree_structure,4,5,1,B,15,0.062493439494393455,0.07278055802049208,6.140719175338745
tree_structure,4,5,1,C,15,0.2768416731240418,0.767648690670055,6.140719175338745
tree_structure,4,5,1,D,15,2.916629356923179,6.72050843267942,6.140719175338745
tree_structure,4,5,1,E,15,1.2645180021890141,4.184062959170347,6.140719175338745
tree_structure,4,5,1,F,15,0.08252124678238099,0.05805169429389903,6.140719175338745
tree_structure,4,5,1,G,15,2.5030183736115204,5.648334816894587,6.140719175338745
tree_structure,4,5,1,H,15,0.8823841787316656,3.4116942482277612,6.140719175338745
tree_structure,4,5,1,I,15,2.1438234649785315,4.929305050169257,6.140719175338745
tree_structure,4,5,1,J,15,0.9899903397612936,2.024031794966741,6.140719175338745
tree_structure,4,5,1,K,15,0.6773526911921091,0.7103552713172554,6.140719175338745
tree_structure,4,5,2,A,15,0.24213027397094933,0.44213438769948993,8.204180717468262
tree_structure,4,5,2,B,15,0.31807790455546725,0.2622628965685705,8.204180717468262
tree_structure,4,5,2,C,15,0.24479087595628668,0.767648690670055,8.204180717468262
tree_structure,4,5,2,D,15,0.9542808851570524,3.5355951076611065,8.204180717468262
tree_structure,4,5,2,E,15,0.01673672529472473,1.0095387941326626,8.204180717468262
tree_structure,4,5,2,F,15,2.152194619587409,3.1791505124299966,8.204180717468262
tree_structure,4,5,2,G,15,0.019430009733207368,0.029058220698336912,8.204180717468262
tree_structure,4,5,2,H,15,0.34315182819913115,2.3736128528306284,8.204180717468262
